zip,city,state,lat,lng
90001,"Los Angeles",CA,33.9731,-118.2479
90002,"Los Angeles",CA,33.9497,-118.2462
90003,"Los Angeles",CA,33.9653,-118.2727
90004,"Los Angeles",CA,34.0762,-118.3029
90005,"Los Angeles",CA,34.0585,-118.3012
90006,"Los Angeles",CA,34.0493,-118.2917
90007,"Los Angeles",CA,34.0294,-118.2871
90008,"Los Angeles",CA,34.0116,-118.3411
90009,"Los Angeles",CA,34.0522,-118.2437
90010,"Los Angeles",CA,34.0606,-118.3027
90011,"Los Angeles",CA,34.0079,-118.2582
90012,"Los Angeles",CA,34.0614,-118.2385
90013,"Los Angeles",CA,34.0448,-118.2434
90014,"Los Angeles",CA,34.0443,-118.2509
90015,"Los Angeles",CA,34.0434,-118.2716
90016,"Los Angeles",CA,34.0298,-118.3528
90017,"Los Angeles",CA,34.0559,-118.2666
90018,"Los Angeles",CA,34.029,-118.3152
90019,"Los Angeles",CA,34.0482,-118.3343
90020,"Los Angeles",CA,34.0665,-118.3022
90021,"Los Angeles",CA,34.0333,-118.2447
90022,"Los Angeles",CA,34.0245,-118.1561
90023,"Los Angeles",CA,34.0245,-118.1975
90024,"Los Angeles",CA,34.0637,-118.4408
90025,"Los Angeles",CA,34.0447,-118.4487
90026,"Los Angeles",CA,34.0766,-118.2646
90027,"Los Angeles",CA,34.104,-118.2925
90028,"Los Angeles",CA,34.1005,-118.3254
90029,"Los Angeles",CA,34.09,-118.2944
90030,"Los Angeles",CA,34.0522,-118.2437
90031,"Los Angeles",CA,34.0783,-118.2113
90032,"Los Angeles",CA,34.0818,-118.1753
90033,"Los Angeles",CA,34.0487,-118.2084
90034,"Los Angeles",CA,34.029,-118.4005
90035,"Los Angeles",CA,34.0531,-118.3806
90036,"Los Angeles",CA,34.0699,-118.3492
90037,"Los Angeles",CA,34.003,-118.2863
90038,"Los Angeles",CA,34.0898,-118.3215
90039,"Los Angeles",CA,34.1121,-118.2594
90040,"Los Angeles",CA,33.9909,-118.1532
90041,"Los Angeles",CA,34.1339,-118.2082
90042,"Los Angeles",CA,34.1145,-118.1929
90043,"Los Angeles",CA,33.9871,-118.3321
90044,"Los Angeles",CA,33.9551,-118.2901
90045,"Los Angeles",CA,33.9631,-118.3941
90046,"Los Angeles",CA,34.1074,-118.3652
90047,"Los Angeles",CA,33.9569,-118.3073
90048,"Los Angeles",CA,34.0737,-118.372
90049,"Los Angeles",CA,34.066,-118.474
90050,"Los Angeles",CA,34.0522,-118.2437
90051,"Los Angeles",CA,34.0522,-118.2437
90052,"Los Angeles",CA,34.0522,-118.2437
90053,"Los Angeles",CA,34.0522,-118.2437
90054,"Los Angeles",CA,34.0522,-118.2437
90055,"Los Angeles",CA,34.0522,-118.2437
90056,"Los Angeles",CA,33.9853,-118.3707
90057,"Los Angeles",CA,34.0622,-118.2763
90058,"Los Angeles",CA,33.9994,-118.2133
90059,"Los Angeles",CA,33.9293,-118.2463
90060,"Los Angeles",CA,34.0522,-118.2437
90061,"Los Angeles",CA,33.9245,-118.2716
90062,"Los Angeles",CA,34.0032,-118.3073
90063,"Los Angeles",CA,34.0451,-118.1859
90064,"Los Angeles",CA,34.0353,-118.4259
90065,"Los Angeles",CA,34.1073,-118.2266
90066,"Los Angeles",CA,34.003,-118.4298
90067,"Los Angeles",CA,34.0551,-118.4095
90068,"Los Angeles",CA,34.1156,-118.3305
90069,"West Hollywood",CA,34.0906,-118.3788
90070,"Los Angeles",CA,34.0522,-118.2437
90071,"Los Angeles",CA,34.0529,-118.2549
90072,"Los Angeles",CA,34.0522,-118.2437
90073,"Los Angeles",CA,33.7866,-118.2987
90074,"Los Angeles",CA,34.0522,-118.2437
90075,"Los Angeles",CA,34.0522,-118.2437
90076,"Los Angeles",CA,34.0522,-118.2437
90077,"Los Angeles",CA,34.1112,-118.4502
90078,"Los Angeles",CA,34.0522,-118.2437
90079,"Los Angeles",CA,33.7866,-118.2987
90080,"Los Angeles",CA,34.0522,-118.2437
90081,"Los Angeles",CA,34.0522,-118.2437
90082,"Los Angeles",CA,34.0522,-118.2437
90083,"Los Angeles",CA,34.0522,-118.2437
90084,"Los Angeles",CA,34.0522,-118.2437
90086,"Los Angeles",CA,34.0522,-118.2437
90087,"Los Angeles",CA,34.0522,-118.2437
90088,"Los Angeles",CA,34.0522,-118.2437
90089,"Los Angeles",CA,33.7866,-118.2987
90090,"Dodgertown",CA,34.0725,-118.2418
90091,"Los Angeles",CA,34.0522,-118.2437
90093,"Los Angeles",CA,34.0522,-118.2437
90094,"Playa Vista",CA,33.9728,-118.4276
90095,"Los Angeles",CA,33.7866,-118.2987
90096,"Los Angeles",CA,34.0522,-118.2437
90099,"Los Angeles",CA,34.0522,-118.2437
90134,"Los Angeles",CA,34.0522,-118.2437
90189,"Los Angeles",CA,34.0515,-118.2559
90201,"Bell Gardens",CA,33.9653,-118.1515
90202,"Bell",CA,33.9775,-118.187
90209,"Beverly Hills",CA,34.0736,-118.4004
90210,"Beverly Hills",CA,34.0901,-118.4065
90211,"Beverly Hills",CA,34.0652,-118.383
90212,"Beverly Hills",CA,34.0619,-118.3995
90213,"Beverly Hills",CA,34.0736,-118.4004
90220,"Compton",CA,33.8748,-118.2402
90221,"Compton",CA,33.8796,-118.2168
90222,"Compton",CA,33.9099,-118.2357
90223,"Compton",CA,33.8958,-118.2201
90224,"Compton",CA,33.7866,-118.2987
90230,"Culver City",CA,33.9949,-118.3991
90231,"Culver City",CA,34.0211,-118.3965
90232,"Culver City",CA,34.0168,-118.3973
90233,"Culver City",CA,34.0211,-118.3965
90239,"Downey",CA,33.94,-118.1326
90240,"Downey",CA,33.9581,-118.1174
90241,"Downey",CA,33.9416,-118.1306
90242,"Downey",CA,33.9218,-118.1395
90245,"El Segundo",CA,33.9243,-118.4119
90247,"Gardena",CA,33.8925,-118.2961
90248,"Gardena",CA,33.8766,-118.2835
90249,"Gardena",CA,33.8998,-118.3199
90250,"Hawthorne",CA,33.9143,-118.3493
90251,"Hawthorne",CA,33.9164,-118.3526
90254,"Hermosa Beach",CA,33.8643,-118.3955
90255,"Huntington Park",CA,33.9769,-118.2161
90260,"Lawndale",CA,33.8879,-118.351
90261,"Lawndale",CA,33.8872,-118.3526
90262,"Lynwood",CA,33.9241,-118.2013
90263,"Malibu",CA,34.005,-118.8101
90264,"Malibu",CA,34.005,-118.8101
90265,"Malibu",CA,34.0402,-118.7351
